#chunkId,viewpointId,tileId,qualityId,distortion,bitrate
18,2,0,2,0.933,15.0872
19,0,0,0,1.61,4.676
19,0,0,1,1.303,7.611072
19,0,0,2,0.937,15.28576
19,1,0,0,1.61,5.003464
19,1,0,1,1.303,7.850192
19,1,0,2,0.937,15.984432
19,2,0,0,1.61,5.068136
19,2,0,1,1.303,7.921944
19,2,0,2,0.937,15.449704
20,0,0,0,1.529,4.902064
20,0,0,1,1.271,7.857432
20,0,0,2,0.937,15.68748
20,1,0,0,1.529,5.06436
20,1,0,1,1.271,7.93136
20,1,0,2,0.937,15.95556
20,2,0,0,1.529,4.907744
20,2,0,1,1.271,8.107976
20,2,0,2,0.937,15.441416
21,0,0,0,1.506,4.939216
21,0,0,1,1.241,7.78052
21,0,0,2,0.927,15.230184
21,1,0,0,1.506,4.93492
21,1,0,1,1.241,8.145
21,1,0,2,0.927,16.085928
21,2,0,0,1.506,4.856208
21,2,0,1,1.241,7.935896
21,2,0,2,0.927,15.67108
22,0,0,0,1.515,5.486968
22,0,0,1,1.246,8.338816
22,0,0,2,0.925,16.371792
22,1,0,0,1.515,4.861168
22,1,0,1,1.246,7.979096
22,1,0,2,0.925,15.88008
22,2,0,0,1.515,4.955656
22,2,0,1,1.246,7.781552
22,2,0,2,0.925,15.607944
23,0,0,0,1.59,4.890768
23,0,0,1,1.262,7.80896
23,0,0,2,0.923,15.663216
23,1,0,0,1.59,4.956832
23,1,0,1,1.262,7.966784
23,1,0,2,0.923,16.18344
23,2,0,0,1.59,5.055432
23,2,0,1,1.262,7.848128
23,2,0,2,0.923,15.652472
24,0,0,0,1.516,5.216528
24,0,0,1,1.246,8.162192
24,0,0,2,0.922,16.236008
24,1,0,0,1.516,4.997952
24,1,0,1,1.246,7.937032
24,1,0,2,0.922,16.090856
24,2,0,0,1.516,5.179168
24,2,0,1,1.246,7.956744
24,2,0,2,0.922,15.929464
25,0,0,0,1.544,5.186824
25,0,0,1,1.262,8.12356
25,0,0,2,0.926,16.166272
25,1,0,0,1.544,5.056528
25,1,0,1,1.262,8.072328
25,1,0,2,0.926,16.261328
25,2,0,0,1.544,5.30172
25,2,0,1,1.262,8.159024
25,2,0,2,0.926,16.449888
26,0,0,0,1.611,4.664936
26,0,0,1,1.296,7.808488
26,0,0,2,0.925,16.141112
26,1,0,0,1.611,4.935576
26,1,0,1,1.296,7.959176
26,1,0,2,0.925,15.884952
26,2,0,0,1.611,4.947016
26,2,0,1,1.296,8.053552
26,2,0,2,0.925,15.88624
27,0,0,0,1.519,4.69776
27,0,0,1,1.241,7.569984
27,0,0,2,0.919,15.084072
27,1,0,0,1.519,4.993024
27,1,0,1,1.241,7.829408
27,1,0,2,0.919,15.776056
27,2,0,0,1.519,4.915384
27,2,0,1,1.241,7.980272
27,2,0,2,0.919,15.990776
28,0,0,0,1.45,5.340576
28,0,0,1,1.216,8.09436
28,0,0,2,0.911,16.10572
28,1,0,0,1.45,4.981136
28,1,0,1,1.216,7.898384
28,1,0,2,0.911,15.608864
28,2,0,0,1.45,5.140896
28,2,0,1,1.216,8.216568
28,2,0,2,0.911,16.140448
29,0,0,0,1.47,5.006856
29,0,0,1,1.202,7.952384
29,0,0,2,0.906,15.707144
29,1,0,0,1.47,4.761
29,1,0,1,1.202,7.851288
29,1,0,2,0.906,15.260856
29,2,0,0,1.47,4.952512
29,2,0,1,1.202,8.0788
29,2,0,2,0.906,16.252896
30,0,0,0,1.486,4.885632
30,0,0,1,1.206,8.189504
30,0,0,2,0.899,16.526888
30,1,0,0,1.486,5.097064
30,1,0,1,1.206,7.959536
30,1,0,2,0.899,15.503184
30,2,0,0,1.486,4.920072
30,2,0,1,1.206,8.016824
30,2,0,2,0.899,16.198
31,0,0,0,1.491,4.845616
31,0,0,1,1.211,7.89944
31,0,0,2,0.904,15.880864
31,1,0,0,1.491,5.19964
31,1,0,1,1.211,8.217168
31,1,0,2,0.904,16.03032
31,2,0,0,1.491,5.003008
31,2,0,1,1.211,7.989512
31,2,0,2,0.904,16.384928
32,0,0,0,1.492,5.074616
32,0,0,1,1.229,8.301608
32,0,0,2,0.9,16.785512
32,1,0,0,1.492,5.09296
32,1,0,1,1.229,8.10176
32,1,0,2,0.9,16.169232
32,2,0,0,1.492,5.046368
32,2,0,1,1.229,7.91796
32,2,0,2,0.9,15.954808
33,0,0,0,1.511,4.927896
